Gene,Half_life
Q0010,26.97004093234152
Q0045,34.544560801377244
Q0050,62.02596197051517
Q0055,62.349681002919645
Q0060,126.31033243343738
Q0065,203.4538792422616
Q0070,4.944644662758309e+16
Q0075,63.68425987828037
Q0080,51.902399197798744
Q0085,160851161455548.6
Q0105,21.355762157338145
Q0110,307.3550145784054
Q0115,12677061566789.248
Q0120,8.996543688461602e+16
Q0130,64.23578601990522
Q0140,228.5775249960317
Q0275,53.5698632827606
YAL001C,13.286219654417552
YAL002W,41.35455125012224
YAL003W,18.150207094291073
YAL004W,46.58223522334695
YAL005C,4638470969418.576
YAL007C,15.182643511233682
YAL008W,41.378776489482284
YAL009W,11.539957446885149
YAL010C,13.834428246342199
YAL011W,13.33530959262192
YAL012W,23.506179353254282
YAL013W,9.316191120163994
YAL014C,10.001626820292664
YAL015C,35.32891387681752
YAL016W,24.092705586404048
YAL017W,34.77620242099878
YAL018C,158.72432250595557
YAL019W,7.897012728565724
YAL020C,20.63514967497201
YAL021C,14.533005881727242
YAL022C,10.464320113559312
YAL023C,10.34910772380608
YAL024C,24.016698317011787
YAL025C,7.65568974934613
YAL026C,36.96901073326354
YAL027W,32.397877337860734
YAL028W,32.034289829282166
YAL029C,13.033165437215372
YAL030W,23.31719325029413
YAL031C,17.30067726470119
YAL032C,21.726964061082374
YAL033W,11.02509456218016
YAL034C,27.96010087965845
YAL034W-A,59.07231869583235
YAL035C-A,63.36218525426081
YAL035W,19.25436026445127
YAL036C,9.206489873754098
YAL037W,32.58528486541733
YAL038W,377023281816958.9
YAL039C,11.571534111556677
YAL040C,15.722809241627036
YAL041W,6.311052219705929
YAL042W,11.007941805983934
YAL043C,6.775449508815766
YAL043C-A,12.010510780044806
YAL044C,61.61101916090491
YAL045C,22.54043364145721
YAL046C,23.603383549717986
YAL047C,15.661585707823596
YAL048C,35.472045849276356
YAL049C,136.88923027336713
YAL051W,31.342723423715615
YAL053W,16.974154952420772
YAL054C,84.12153183500055
YAL055W,25.66139402947106
YAL056W,18.757885095801583
YAL058C-A,185.79129664351342
YAL058W,7.612465464567109
YAL059W,10.7724218518334
YAL060W,5.171133031393551e+16
YAL061W,59.64249014816867
YAL062W,3716799365182.775
YAL063C,41.68165446347735
YAL064C-A,62.09352337666209
YAL064W,8.463845488775306
YAL064W-B,37.32628141228173
YAL065C,28.77226509420181
YAL066W,42.68436334530841
YAL067C,45.44366321010975
YAL068C,9.989487639337495
YAL069W,23.170211376787453
YAR002C-A,23.58573332759331
YAR002W,12.911330036633993
YAR003W,60007899306222.016
YAR007C,14.045345803470157
YAR008W,9.383581657555384
YAR009C,34.08773489059104
YAR010C,93.13018876859414
YAR014C,9.292991198168043
YAR015W,14.011101765231233
YAR018C,6.015324593227804
YAR019C,24.4244960241367
YAR020C,25.30570665365048
YAR023C,17186600406738.682
YAR027W,31.58323860292751
YAR028W,18.149573222080416
YAR029W,30.720179196891305
YAR030C,36.104242675596744
YAR031W,17.341485494931607
YAR033W,36.56001264022431
YAR035W,25.47238599009129
YAR042W,14.908794163129652
YAR044W,15.133893578813982
YAR047C,24.26431228501826
YAR050W,19.202225591527732
YAR053W,21.99492623197128
YAR060C,33.64052868059801
YAR061W,53.95540036915006
YAR062W,15.586490322204673
YAR064W,9.888710481051337
YAR066W,23.646874587786233
YAR068W,10.402943959110802
YAR069C,10.268048877422036
YAR070C,16.908958361021885
YAR071W,15.19389091582855
YAR073W,26.84692184575891
YAR075W,36.72640114546638
YBL001C,19.82748622842207
YBL002W,10.879742999818598
YBL003C,4.084742528094805
YBL004W,21.209544496313463
YBL005W,29.059253464925206
YBL005W-A,28.676135272663583
YBL005W-B,11.928726337118226
YBL006C,12.320358787901768
YBL007C,17.923957836083364
YBL008W,10.052553110954834
YBL009W,8.070690942271415
YBL010C,8.508934312050284
YBL011W,7.461126386360699
YBL012C,10.173382089472309
YBL013W,18.401897934256116
YBL014C,9.72072453010752
YBL015W,6.766758075255948
YBL016W,5.334894730328885
YBL017C,14.140923185937975
YBL018C,36.44045223701132
YBL019W,13.770500553799808
YBL020W,11.293807127447657
YBL021C,9.16143234379777
YBL022C,13.743483730670432
YBL023C,9.156697710333944
YBL024W,9.64446996124024
YBL025W,7.90380502358645
YBL026W,17.849113001826638
YBL027W,46.59659334406932
YBL028C,11.301200674826747
YBL029W,17.145092458114068
YBL030C,19.664507373017198
YBL031W,10.873018489993473
YBL032W,12.28822437694143
YBL033C,12.87438761122812
YBL034C,10.088369690727426
YBL035C,5.97524776408316
YBL036C,10.745286743946545
YBL037W,31.575903756302914
YBL038W,11.425844448421142
YBL039C,5.983286150759862
YBL040C,26.032360500329034
YBL041W,18.36546869973729
YBL042C,3.3728346114140146
YBL043W,18.187786032686255
YBL044W,11.555551314709769
YBL045C,21.949607590949352
YBL046W,9.326686764858266
YBL047C,19.466784421868173
YBL048W,28.717785014318984
YBL049W,12.779560594934857
YBL050W,11.516902658008899
YBL051C,14.347083438506068
YBL052C,9.19050683117402
YBL053W,12.591683078856876
YBL054W,9.886746923289486
YBL055C,35.02692177422401
YBL056W,13.62518428550163
YBL057C,13.12841807389347
YBL058W,15.125061620863713
YBL059W,26.87708703458748
YBL060W,16.939845798723177
YBL061C,11.81996263280992
YBL062W,22.25516023461802
YBL063W,2.9232772979032617
YBL064C,1778866085240823.0
YBL065W,17.351538335671837
YBL066C,19.22055024571403
YBL067C,8.563836523362555
YBL068W,9.311245102883964
YBL069W,11.862849686241585
YBL070C,38.55304227364614
YBL071C,29.271501020142914
YBL072C,11.074379403184999
YBL073W,38.80394352556499
YBL074C,11.03376829819753
YBL075C,693845239155935.6
YBL076C,84.49872390339736
YBL077W,1.5303393436997584e+17
YBL078C,34.210306665168446
YBL079W,14.458544412098512
YBL080C,6.170076337968044
YBL081W,6.174296800067371
YBL082C,10.989128758024583
YBL083C,16.137106789595048
YBL084C,15.333151626345298
YBL085W,13.20279452244215
YBL086C,10.429323930960093
YBL087C,34.19351904247782
YBL088C,29.414896444395414
YBL089W,20.12544200479346
YBL090W,13.807873443089328
YBL091C,14.024221081035643
YBL092W,24.140442465890263
YBL093C,6.9871771718996945
YBL094C,23.668055973246666
YBL095W,24.276542345644824
YBL096C,18.976783593726406
YBL097W,11.55803706058236
YBL098W,24.369125339952387
YBL099W,57.83394286548063
YBL100C,26.977671098970266
YBL101C,11.47794391003871
YBL101W-A,22.779660217299302
YBL101W-B,33.55574381619403
YBL102W,8.83122767253023
YBL103C,7.925359835613782
YBL104C,9.272296367919463
YBL105C,8.711957539022182
YBL106C,13.323385494363567
YBL107C,9.154331317120256
YBL108W,5.557212004922275
YBL109W,14.84932776238418
YBL111C,1.0891347296324354
YBL112C,3.328618825483001
YBL113C,1.6356402295766248
YBR001C,34.77869367400694
YBR002C,6.2318076967286045
YBR003W,12.191097527485791
YBR004C,7.125372174873952
YBR005W,22.354248444462304
YBR006W,20.905357630498763
YBR007C,11.403362997880341
YBR008C,9.387039984281602
YBR009C,5.280822204983599
YBR010W,4.945667437400762
YBR011C,49.79408361873055
YBR012C,10.689769129791792
YBR012W-A,12.130270053819666
YBR012W-B,34.96980986761895
YBR013C,18.49840299156176
YBR014C,9.593240377605898
YBR015C,7.416719988451323
YBR016W,10.878654305831565
YBR017C,18.398773204245362
YBR018C,229.32631356538954
YBR019C,15.46098283067339
YBR020W,24.72952286411883
YBR021W,16.66203712813521
YBR022W,13.58385199943572
YBR023C,16.104110744358003
YBR024W,22.81197953647536
YBR025C,29.678943486073724
YBR026C,93.06413286416068
YBR027C,19.257321881910954
YBR028C,6.944205874404518
YBR029C,20.200367917023446
YBR030W,29.370623215650816
YBR031W,5.901097565712691
YBR032W,20.71329089001434
YBR033W,13.610962662637812
YBR034C,5.545464725751342
YBR035C,20.61860642569255
YBR036C,12.992925837928427
YBR037C,10.949766897663922
YBR038W,10.29389911646671
YBR039W,20.36677182221034
YBR040W,47.12129547889236
YBR041W,5.0922982601454025
YBR042C,7.791798024580492
YBR043C,7.799035729834385
YBR044C,9.162189643599035
YBR045C,220.12981255518508
YBR046C,12.586401813177979
YBR047W,1738881757849712.0
YBR048W,22.088044607975796
YBR049C,9.568365215256726
YBR050C,27.538746757349507
YBR051W,237.026049545706
YBR052C,17.190343587867577
YBR053C,49.85904669902182
YBR054W,3515215918775623.0
YBR055C,7.740434755622376
YBR056W,27.039735738177363
YBR057C,9.095094792967815
YBR058C,8.834334808691422
YBR059C,29.672157688773318
YBR060C,6.0161095396450674
